p,r,euclidean_distance_1_2,euclidean_distance_1_3,euclidean_distance_1_4,euclidean_distance_2_3,euclidean_distance_2_4,euclidean_distance_3_4
4.0,16.0,0.040265363658967115,0.02929301137084292,0.0327540845530598,0.026128442487815488,0.018454690058133678,0.021755278371708143
8.0,1.0,0.12169864662881855,0.18071772577413409,0.08304455028314339,0.07714013125877525,0.11102153010140324,0.17736348038007327
8.0,2.0,0.13175621182865857,0.17010658044066035,0.07354330668995063,0.050132821999829554,0.1335121105542019,0.17151372349248564
8.0,3.0,0.10071807796530989,0.09506572606838772,0.06176303763908812,0.028489339116511078,0.0926311154151769,0.07691600876893838
8.0,4.0,0.08791247003663573,0.08209158496487176,0.0553952705282389,0.026774667974673975,0.07162867508134164,0.054735731086316304
8.0,5.0,0.08450030810703402,0.08680600041202627,0.051506989506663485,0.02369955702578452,0.06817785925450351,0.06018443826017718
8.0,6.0,0.0726449686086633,0.06199915239523276,0.04657574712203135,0.027351656583820598,0.055549076697453056,0.036075637017063
8.0,7.0,0.056676072505555126,0.054471274989626915,0.0408732815921138,0.03337312751577657,0.03567121352961164,0.0241504823412621
8.0,8.0,0.06127816793838074,0.058862147188628595,0.03877950994533429,0.030837765899833374,0.04849190858735303,0.034306515248360286
8.0,9.0,0.05666208965238646,0.04996414958705247,0.036371764750713624,0.02919810852759678,0.04645887209227246,0.030011892605671102
8.0,10.0,0.0432067596671487,0.046563726178407816,0.03230765509337258,0.03332991488017452,0.02913745080947764,0.024502922114395066
8.0,11.0,0.04628739609263931,0.04683035379626483,0.030689419448922433,0.03224466819488712,0.036684224232321094,0.027493814930555433
8.0,12.0,0.049133118042694886,0.04413311683995032,0.029289745416969912,0.03172551870501869,0.04305609007247848,0.027556308987712094
8.0,13.0,0.042483261512617415,0.03751738683513875,0.027384981293642186,0.028960366132085472,0.0343684971785683,0.02179740315484493
8.0,14.0,0.03694318982704819,0.03907632620321906,0.025880949596492182,0.02912200555326964,0.027317618971486962,0.02274328268274838
8.0,15.0,0.04438735644329688,0.03960497184244735,0.025687478002033536,0.031962929310995224,0.041592345957368396,0.02639263688755403
8.0,16.0,0.04194475318460205,0.034210415634473745,0.024772713358282517,0.027625961219325933,0.03938593884389401,0.023790936221048248
16.0,1.0,0.08775389337311401,0.14240209404106363,0.05464149247083047,0.06903759583558858,0.08585046769169687,0.1450640481838207
16.0,2.0,0.09617913462572172,0.11730976791940771,0.04564779153670716,0.028083485189875322,0.09732677192255748,0.1185558996823995
16.0,3.0,0.07030565796451066,0.057229444688338196,0.03543031512937884,0.026967476677043124,0.06524232782709784,0.04834563739572801
16.0,4.0,0.06414665253523708,0.053047992157478976,0.031278503167023665,0.02143885588576436,0.05689579857713812,0.04276256237955876
16.0,5.0,0.05617037618349169,0.04617368473350447,0.028458397883370495,0.019085201480335143,0.04858286026032782,0.03488301935887489
16.0,6.0,0.05424288894491867,0.03864548948335872,0.026461762230405105,0.022359819956450047,0.04913342813510856,0.030448197652935365
16.0,7.0,0.042834516236072984,0.029713527448352244,0.02387561453048986,0.02627636967161821,0.03798076010008887,0.019541344418254586
16.0,8.0,0.04080431902347218,0.03043871512603017,0.022863342792379927,0.022653143460129005,0.038621404690680594,0.021732780621955584
16.0,9.0,0.04476191811740229,0.03307203798123356,0.02215092516881349,0.0193497359286215,0.04606780706404809,0.030619713103551462
16.0,10.0,0.033099567856573794,0.02270433337518111,0.020349901495593417,0.02607453824679761,0.03363474196123124,0.015080677973535425
16.0,11.0,0.034585061133074094,0.023696202417109524,0.020214248904169826,0.025254646564793395,0.03722725633600566,0.018212903664510113
16.0,12.0,0.0358944558977666,0.02476710112708542,0.019091752270551317,0.020501719148570314,0.04012795247283877,0.0241266137150728
16.0,13.0,0.0222809978743954,0.020025703740488014,0.01693737786051482,0.019241293680996377,0.021691047585374906,0.01127841035653524
16.0,14.0,0.029694036733480027,0.02053723962958365,0.016311465298948082,0.022081908833845792,0.0323807147921804,0.01607385240104889
16.0,15.0,0.035730108971815944,0.022132461949032105,0.015809812048623174,0.02409947428880699,0.040452277943009436,0.020934521276179275
16.0,16.0,0.03408462511469397,0.0198238846675553,0.01480597678668775,0.02355356893544467,0.03816623773483846,0.01884764982628589
